metric,value
n_fights_raw,282
n_fights_analyzed,281
n_cards,35
date_lo,2025-05-10
date_hi,2026-07-18
tot_bars,183924
tot_both_bars,18624
k_trades,1222785
k_vol_contracts,160112423.55
pm_trades,85346
pm_notional_usdc,24894249.821834333
co_pct_p10,2.050113895216401
co_pct_p25,3.5502958579881656
co_pct_p50,5.769230769230769
co_pct_p75,10.610079575596817
co_pct_p90,18.98148148148148
n_main_event,32
n_undercard,249
gap_mean_all,0.004635523814969931
gap_median_all,0.00014160500000001686
abs_gap_mean_all,0.012048222377040377
gap_mean_main,0.004517905069067203
gap_mean_undercard,0.0046977368992693535
