panel,metric,2025_lychee,2026_collector,ratio_2026_2025
A,N_fights,182,100,
A,fights_with_pm_trades,182,100,
A,median_trades_per_fight,422,154,0.36
A,p90_trades_per_fight,1520,561,0.37
A,mean_trades_per_fight,726,240,0.33
A,max_trades_per_fight,11639,1183,
B,median_active_pm_bars_per_fight,106,91,0.86
B,p90_active_pm_bars_per_fight,277,222,0.80
B,mean_active_pm_bars_per_fight,138,109,0.79
C,dist_1_to_10,1,3,
C,dist_10_to_100,5,24,
C,dist_100_to_500,102,62,
C,dist_500_to_1000,43,10,
C,dist_1000_to_5000,29,1,
C,dist_5000_plus,2,0,
D,mcghol_prefight_trades,0,,
D,mcghol_infight_trades,517,,
D,mcghol_postsettlement_trades,2983,,
D,mcghol_total_trades,3500,,
D,mcghol_pm_bars_in_panel,8,,
